name,uri
Phyzh Eye,spotify:artist:1NsRsBdRV7uWMw0SYaHo01
Pistola Bang,spotify:artist:2ai0soTBUbXpAdBZBEKkmh
Rael,spotify:artist:0GWNKI3VPEcJsOIEhUjmxd
Rebeca Lane,spotify:artist:7pTTcZQa4DzCKdoyuiPfsq
Rebel Diaz,spotify:artist:0JfMSuCVlJovLNPQCmSdXV
Remik Gonzalez,spotify:artist:4Hzj6dfl1y5x5TzCSsvLB6
Reno871,spotify:artist:50nNZIMfSVOSOoZNPfgFCU
Residente,spotify:artist:5GcWBUX00IPuWVGMIRK1sS
Reverie,spotify:artist:4K2C6TgREygMW8xo4jymq4
Rich Vagos,spotify:artist:1FCItwxfRieMGhR0eRxotU
Robless,spotify:artist:1g7oLorgcMEQnwkwa8gfO2
Robot95,spotify:artist:30CTTIqrcr82nS6B40j975
Rollie Tx,spotify:artist:3XTTSWiofxWtVDwbwV74Cl
Rossi Rock,spotify:artist:0zM7iL4aQ9IlzciOyD4oHC
Ruddi Nizz,spotify:artist:1UDkP5JtJNEytAuWfHlHVD
Rxnde Akozta,spotify:artist:5YO3yQx97KLLE9zJYa4jaU
Sabino,spotify:artist:0zgFL90nGTrH2iOMD8Vysy
Samantha Barrón,spotify:artist:0zfvfy9XlborSqXNRhi8Bk
Santa Fe Klan,spotify:artist:4tm8CEdm4pkQsEh4jIr9Yp
Santa Grifa,spotify:artist:6iUqhFh8pBQiWtj8Mf33gk
Santa RM,spotify:artist:30BSBWLKnYJION1lCPugXc
Scrooc,spotify:artist:4UBLfW8em0egsW7PI9EtBP
Serko Fu,spotify:artist:3V0tt9H5XH3KAGobLFhoGw
Sick Morrison,spotify:artist:4oMSYrYeZPbi9uvI1ql9wm
Simpson Ahuevo,spotify:artist:6viZnVSHavFUcW0blu6Mvw
Sinful El Pecador,spotify:artist:0CtBJEWIKkU8CzxJCBLmSi
Skool 77,spotify:artist:1XrrYgyQChyeEcHCG6AByX
Smoky,spotify:artist:4l24lLzqEpNNukhQP9cA2q
Snow Tha Product,spotify:artist:3p3jPcp8b7WL9XYj4xlsWj
